x,y,label,class,domain,model
-5.48224,-6.2626925,3,cat,clean,ResNet-50
29.95323,1.2157432,8,ship,clean,ResNet-50
25.312466,0.90740603,8,ship,clean,ResNet-50
5.9680157,-0.20845805,0,airplane,clean,ResNet-50
-11.007847,2.2286177,6,frog,clean,ResNet-50
-7.8984504,1.3778156,6,frog,clean,ResNet-50
-3.8008502,13.432787,1,automobile,clean,ResNet-50
-4.7053113,0.66003746,6,frog,clean,ResNet-50
-6.873516,-9.266387,3,cat,clean,ResNet-50
-4.409133,16.943699,1,automobile,clean,ResNet-50
5.357956,-2.2501245,0,airplane,clean,ResNet-50
-2.6078598,6.5793037,9,truck,clean,ResNet-50
-4.64455,-7.919681,5,dog,clean,ResNet-50
-2.1907744,-10.584994,7,horse,clean,ResNet-50
-1.692248,4.1986275,9,truck,clean,ResNet-50
10.62801,0.97886366,8,ship,clean,ResNet-50
-6.3528695,-11.744836,5,dog,clean,ResNet-50
-1.7351806,-1.982207,7,horse,clean,ResNet-50
29.672504,0.99492955,8,ship,clean,ResNet-50
-15.766945,4.077758,6,frog,clean,ResNet-50
-2.2510893,-1.8812755,7,horse,clean,ResNet-50
4.6979966,-2.2248278,0,airplane,clean,ResNet-50
-0.4058611,-1.199818,4,deer,clean,ResNet-50
-2.4115136,6.899003,9,truck,clean,ResNet-50
-2.689767,-2.4963179,5,dog,clean,ResNet-50
-1.9985662,-1.3900064,2,bird,clean,ResNet-50
-2.0088804,-1.5009375,4,deer,clean,ResNet-50
1.1415017,-1.2364956,0,airplane,clean,ResNet-50
-2.6369665,5.706374,9,truck,clean,ResNet-50
-10.294328,2.4582021,6,frog,clean,ResNet-50
-13.011877,3.277242,6,frog,clean,ResNet-50
-13.091279,-28.657593,5,dog,clean,ResNet-50
-2.3629715,-1.206993,4,deer,clean,ResNet-50
-2.5996583,-2.2544355,5,dog,clean,ResNet-50
-1.7086134,7.0773935,9,truck,clean,ResNet-50
-1.988292,0.40270567,2,bird,clean,ResNet-50
-2.473263,-2.026268,4,deer,clean,ResNet-50
-2.3647301,6.5561833,1,automobile,clean,ResNet-50
