x,y,label,class,domain,model
5.97702,1.8979528,3,cat,clean,ViT-S/16
-10.732124,-10.192033,8,ship,clean,ViT-S/16
-13.070934,-7.2124825,8,ship,clean,ViT-S/16
-3.9946845,-7.8560324,0,airplane,clean,ViT-S/16
8.098579,-13.940193,6,frog,clean,ViT-S/16
7.336059,-5.671844,6,frog,clean,ViT-S/16
-12.70649,11.420325,1,automobile,clean,ViT-S/16
5.5687084,-1.8578161,6,frog,clean,ViT-S/16
9.493916,3.6559832,3,cat,clean,ViT-S/16
-13.654362,3.534581,1,automobile,clean,ViT-S/16
-2.8734474,-6.1962123,0,airplane,clean,ViT-S/16
-18.882626,1.0959127,9,truck,clean,ViT-S/16
10.436844,9.202743,5,dog,clean,ViT-S/16
5.866374,12.823744,7,horse,clean,ViT-S/16
-19.28128,-0.5357055,9,truck,clean,ViT-S/16
-8.120657,-13.54956,8,ship,clean,ViT-S/16
6.805263,12.099757,5,dog,clean,ViT-S/16
2.543861,15.783046,7,horse,clean,ViT-S/16
-9.832649,-9.276202,8,ship,clean,ViT-S/16
5.860482,-13.5202055,6,frog,clean,ViT-S/16
3.4200187,16.67511,7,horse,clean,ViT-S/16
-1.3391236,-5.784589,0,airplane,clean,ViT-S/16
9.80722,-6.113178,4,deer,clean,ViT-S/16
-15.7878685,1.0254163,9,truck,clean,ViT-S/16
7.9053226,11.383249,5,dog,clean,ViT-S/16
6.4753065,-7.498838,2,bird,clean,ViT-S/16
8.433931,2.100256,4,deer,clean,ViT-S/16
-6.9150753,-3.0282474,0,airplane,clean,ViT-S/16
-16.25463,-0.34811753,9,truck,clean,ViT-S/16
7.536158,-9.797148,6,frog,clean,ViT-S/16
5.6995487,-6.00314,6,frog,clean,ViT-S/16
9.96903,7.223286,5,dog,clean,ViT-S/16
11.603212,-4.5610642,4,deer,clean,ViT-S/16
7.2596316,9.247842,5,dog,clean,ViT-S/16
-15.623602,-0.12796733,9,truck,clean,ViT-S/16
6.8037963,-0.85822606,2,bird,clean,ViT-S/16
12.989939,5.056438,4,deer,clean,ViT-S/16
-13.861984,6.654413,1,automobile,clean,ViT-S/16
-16.0001,-0.6301275,9,truck,clean,ViT-S/16
8.480228,5.822489,5,dog,clean,ViT-S/16
6.309789,-1.1022949,4,deer,clean,ViT-S/16
4.406052,-13.399196,6,frog,clean,ViT-S/16
7.8827415,6.8504004,5,dog,clean,ViT-S/16
7.030538,-5.9707317,6,frog,clean,ViT-S/16
-11.166309,-4.8109455,0,airplane,clean,ViT-S/16
-19.272856,0.14687121,9,truck,clean,ViT-S/16
10.641098,-1.2898883,3,cat,clean,ViT-S/16
-8.898466,-3.582051,9,truck,clean,ViT-S/16
7.25652,17.638988,7,horse,clean,ViT-S/16
6.191699,-8.283571,6,frog,clean,ViT-S/16
-15.36767,-2.851053,9,truck,clean,ViT-S/16
-8.759535,-13.081022,8,ship,clean,ViT-S/16
-8.742971,-3.630786,0,airplane,clean,ViT-S/16
7.2944713,2.718358,3,cat,clean,ViT-S/16
-10.647051,-13.535402,8,ship,clean,ViT-S/16
-8.788268,-12.307836,8,ship,clean,ViT-S/16
0.90528965,14.667506,7,horse,clean,ViT-S/16
5.451016,8.76365,7,horse,clean,ViT-S/16
10.066713,4.9157176,4,deer,clean,ViT-S/16
5.9574966,6.067172,6,frog,clean,ViT-S/16
6.9579167,14.772592,7,horse,clean,ViT-S/16
8.336155,7.6146255,3,cat,clean,ViT-S/16
5.7560244,-9.999398,6,frog,clean,ViT-S/16
0.44564784,3.8846967,3,cat,clean,ViT-S/16
6.836119,-9.137736,6,frog,clean,ViT-S/16
9.767221,-14.504037,2,bird,clean,ViT-S/16
-18.469997,5.4076476,1,automobile,clean,ViT-S/16
6.498057,-18.944965,2,bird,clean,ViT-S/16
2.028542,-0.64621913,3,cat,clean,ViT-S/16
4.7375793,13.428012,7,horse,clean,ViT-S/16
8.060774,-10.638275,2,bird,clean,ViT-S/16
5.3719754,-5.499557,6,frog,clean,ViT-S/16
-5.7665167,-11.567767,8,ship,clean,ViT-S/16
-6.6348658,-11.313123,8,ship,clean,ViT-S/16
-10.251404,-2.9217863,0,airplane,clean,ViT-S/16
8.610548,-15.0436535,2,bird,clean,ViT-S/16
-13.524694,-1.836739,9,truck,clean,ViT-S/16
8.175272,4.0339255,3,cat,clean,ViT-S/16
6.45624,12.258671,3,cat,clean,ViT-S/16
-4.934559,-9.0665455,8,ship,clean,ViT-S/16
-8.535078,-13.019647,8,ship,clean,ViT-S/16
-6.7317047,3.1109262,1,automobile,clean,ViT-S/16
-17.023247,8.560563,1,automobile,clean,ViT-S/16
3.1950612,14.632078,7,horse,clean,ViT-S/16
8.045589,-3.7336586,2,bird,clean,ViT-S/16
6.929321,12.547213,5,dog,clean,ViT-S/16
1.6180656,-6.368116,2,bird,clean,ViT-S/16
5.0200734,9.614121,7,horse,clean,ViT-S/16
-9.348388,-10.432372,8,ship,clean,ViT-S/16
-19.061586,0.46809927,9,truck,clean,ViT-S/16
-10.667971,-4.105057,0,airplane,clean,ViT-S/16
9.578098,-0.3959227,3,cat,clean,ViT-S/16
-11.838707,-11.105476,8,ship,clean,ViT-S/16
3.2691803,-9.451638,6,frog,clean,ViT-S/16
13.40509,3.9060252,4,deer,clean,ViT-S/16
4.1511865,-9.9771805,6,frog,clean,ViT-S/16
9.790333,-12.511157,6,frog,clean,ViT-S/16
0.9289689,-9.789256,0,airplane,clean,ViT-S/16
-7.960219,-0.8615974,0,airplane,clean,ViT-S/16
3.5130706,14.392578,7,horse,clean,ViT-S/16
11.790056,3.1735284,4,deer,clean,ViT-S/16
8.929764,9.285663,5,dog,clean,ViT-S/16
4.1057286,-11.806419,6,frog,clean,ViT-S/16
7.7631564,0.8574145,3,cat,clean,ViT-S/16
-14.963173,7.4801393,1,automobile,clean,ViT-S/16
-17.836071,9.896917,1,automobile,clean,ViT-S/16
8.689941,-3.0288162,3,cat,clean,ViT-S/16
4.8661113,-12.2446995,6,frog,clean,ViT-S/16
-4.3411016,-8.857924,8,ship,clean,ViT-S/16
7.3247857,10.537466,7,horse,clean,ViT-S/16
12.755693,4.850718,4,deer,clean,ViT-S/16
-3.722339,-5.654334,0,airplane,clean,ViT-S/16
1.9627259,-13.628173,6,frog,clean,ViT-S/16
7.864163,-15.134491,2,bird,clean,ViT-S/16
-20.497944,8.497537,1,automobile,clean,ViT-S/16
6.0206976,3.7002003,3,cat,clean,ViT-S/16
-5.3421493,-6.7952695,0,airplane,clean,ViT-S/16
8.665056,3.520246,4,deer,clean,ViT-S/16
7.6686063,-1.0046475,2,bird,clean,ViT-S/16
3.3551912,10.381623,7,horse,clean,ViT-S/16
-7.820811,-10.608058,8,ship,clean,ViT-S/16
4.842492,5.516354,3,cat,clean,ViT-S/16
-16.944897,9.382625,1,automobile,clean,ViT-S/16
6.860412,-10.370298,2,bird,clean,ViT-S/16
-10.69466,-11.326393,8,ship,clean,ViT-S/16
-2.8608596,-14.051335,0,airplane,clean,ViT-S/16
-10.127184,-13.727342,8,ship,clean,ViT-S/16
10.71846,1.1278353,3,cat,clean,ViT-S/16
7.180239,6.972631,5,dog,clean,ViT-S/16
2.4258785,-14.8554945,2,bird,clean,ViT-S/16
11.858,-1.9874523,4,deer,clean,ViT-S/16
-17.798512,10.780217,1,automobile,clean,ViT-S/16
-10.748409,-12.996192,8,ship,clean,ViT-S/16
-13.299484,3.6264513,9,truck,clean,ViT-S/16
-15.322279,8.476511,1,automobile,clean,ViT-S/16
8.601164,-9.874432,2,bird,clean,ViT-S/16
-10.930231,0.25323,9,truck,clean,ViT-S/16
4.5142,16.006012,7,horse,clean,ViT-S/16
9.449005,-15.292937,2,bird,clean,ViT-S/16
-14.524515,-2.0867682,9,truck,clean,ViT-S/16
6.672047,-8.114434,6,frog,clean,ViT-S/16
8.132549,8.024035,5,dog,clean,ViT-S/16
4.84161,-8.340808,6,frog,clean,ViT-S/16
7.0167794,4.807175,3,cat,clean,ViT-S/16
