dx,dy,ResNet_acc,ResNet_cons,ViT_acc,ViT_cons
0,0,0.1126,1.0,0.9389,1.0
4,0,0.1119,0.9648,0.9347,0.9724
8,0,0.1115,0.9592,0.9336,0.9615
12,0,0.1106,0.9503,0.9347,0.9675
16,0,0.1119,0.9437,0.9323,0.9762
20,0,0.1123,0.9376,0.9251,0.9597
24,0,0.1119,0.938,0.9228,0.9521
28,0,0.1112,0.9351,0.9218,0.9493
32,0,0.1118,0.9357,0.917,0.9522
0,4,0.1164,0.9468,0.9367,0.9704
4,4,0.1135,0.9408,0.9335,0.9646
8,4,0.1151,0.9359,0.9321,0.9577
12,4,0.1135,0.9291,0.9345,0.9603
16,4,0.1145,0.9221,0.9323,0.9616
20,4,0.1157,0.9183,0.9245,0.9527
24,4,0.1142,0.9176,0.924,0.9452
28,4,0.1154,0.9172,0.9192,0.9446
32,4,0.1132,0.92,0.9152,0.9447
0,8,0.1127,0.9428,0.9366,0.9636
4,8,0.111,0.9392,0.9341,0.9622
8,8,0.1104,0.9356,0.9344,0.9586
12,8,0.1099,0.9275,0.9348,0.9566
16,8,0.111,0.9206,0.9338,0.9599
20,8,0.1115,0.9179,0.9267,0.9534
24,8,0.1111,0.9188,0.9257,0.9473
28,8,0.1109,0.9179,0.921,0.942
32,8,0.1113,0.9191,0.9179,0.9408
0,12,0.1113,0.932,0.9359,0.9676
4,12,0.1112,0.9297,0.9314,0.9608
8,12,0.1113,0.9263,0.9335,0.9585
12,12,0.1104,0.9208,0.9338,0.9589
16,12,0.1117,0.9135,0.9315,0.9594
20,12,0.112,0.9122,0.923,0.9509
24,12,0.1106,0.9127,0.9208,0.9452
28,12,0.1114,0.911,0.9215,0.9458
32,12,0.1116,0.9105,0.9163,0.9403
0,16,0.1119,0.9199,0.9333,0.9741
4,16,0.11,0.9197,0.9316,0.9639
8,16,0.1114,0.9173,0.9317,0.9552
12,16,0.1105,0.9093,0.9311,0.958
16,16,0.1124,0.9039,0.9299,0.9648
20,16,0.1123,0.9036,0.9208,0.9509
24,16,0.1112,0.903,0.9178,0.9432
28,16,0.1118,0.9032,0.9185,0.9423
32,16,0.1109,0.9018,0.913,0.9429
0,20,0.1131,0.9059,0.9296,0.9574
4,20,0.1116,0.9065,0.9279,0.952
8,20,0.1115,0.9068,0.926,0.947
12,20,0.1107,0.9028,0.9258,0.9461
16,20,0.1129,0.8934,0.9238,0.9507
20,20,0.1124,0.8934,0.9169,0.9408
24,20,0.1115,0.8951,0.9162,0.9368
28,20,0.1102,0.8975,0.9115,0.9313
32,20,0.1108,0.8954,0.9073,0.931
0,24,0.1125,0.8977,0.9289,0.9507
4,24,0.1101,0.9032,0.9269,0.9477
8,24,0.1112,0.904,0.9266,0.9458
12,24,0.1111,0.8987,0.923,0.9415
16,24,0.1124,0.8924,0.9236,0.9438
20,24,0.1136,0.8921,0.9171,0.9375
24,24,0.1116,0.8927,0.913,0.9332
28,24,0.1115,0.8916,0.9082,0.9265
32,24,0.111,0.8905,0.9073,0.9258
0,28,0.1123,0.9,0.9255,0.9487
4,28,0.1112,0.9041,0.9222,0.9453
8,28,0.1117,0.9015,0.9224,0.9426
12,28,0.1101,0.8992,0.9195,0.941
16,28,0.1102,0.8918,0.9187,0.9413
20,28,0.1105,0.8945,0.9128,0.9339
24,28,0.1111,0.8935,0.9064,0.927
28,28,0.1092,0.8943,0.9025,0.9235
32,28,0.1097,0.893,0.901,0.9223
0,32,0.1124,0.895,0.9196,0.9473
4,32,0.1107,0.8952,0.9175,0.9408
8,32,0.1109,0.8939,0.9157,0.9375
12,32,0.1091,0.8868,0.9142,0.937
16,32,0.1111,0.8784,0.9137,0.9394
20,32,0.1112,0.8818,0.9085,0.9284
24,32,0.1117,0.8807,0.902,0.9239
28,32,0.11,0.878,0.8967,0.9181
32,32,0.1099,0.8801,0.8939,0.9174
