raw_idx,y_true,base_rn_pred,base_rn_conf,base_vt_pred,base_vt_conf,perm2_rn_pred,perm2_rn_conf,perm2_vt_pred,perm2_vt_conf,perm4_rn_pred,perm4_rn_conf,perm4_vt_pred,perm4_vt_conf,perm8_rn_pred,perm8_rn_conf,perm8_vt_pred,perm8_vt_conf,occ8_rn_pred,occ8_rn_conf,occ8_vt_pred,occ8_vt_conf,occ16_rn_pred,occ16_rn_conf,occ16_vt_pred,occ16_vt_conf
0,3,3,0.9996892213821411,3,0.9719692468643188,3,0.9997326731681824,9,0.9469382762908936,3,0.9663960933685303,9,0.9833303093910217,3,0.6976621150970459,9,0.9387149214744568,3,0.8890458345413208,3,0.9289953708648682,3,0.8681047558784485,2,0.29531359672546387
1,8,8,0.9999653100967407,8,0.9990918636322021,8,0.5054112672805786,8,0.7677145004272461,9,0.692604124546051,9,0.8601493239402771,9,0.9849167466163635,9,0.9197335243225098,8,0.9998568296432495,8,0.9963059425354004,8,0.9891954660415649,8,0.9570590257644653
2,8,8,0.9998353719711304,8,0.843113899230957,9,0.6578478217124939,0,0.3404181897640228,9,0.9682220220565796,9,0.5733227133750916,9,0.9882940053939819,9,0.7697774171829224,8,0.9978378415107727,8,0.42359086871147156,8,0.9186438322067261,9,0.9486425518989563
3,0,0,0.9978652596473694,0,0.7807655930519104,9,0.6433512568473816,0,0.3677358031272888,9,0.9321185350418091,9,0.6593458652496338,9,0.9296967387199402,9,0.7607349753379822,0,0.9279942512512207,3,0.36230242252349854,9,0.9912830591201782,9,0.4091493785381317
4,6,6,0.9991030693054199,6,0.9829621911048889,6,0.6659417748451233,6,0.9745861291885376,2,0.5035669803619385,4,0.6254158020019531,3,0.34805819392204285,4,0.8198304772377014,2,0.3960532248020172,6,0.8803724050521851,2,0.9273013472557068,2,0.4541943371295929
5,6,6,0.9976972937583923,6,0.9548482298851013,4,0.9798504114151001,3,0.42764216661453247,7,0.9482553005218506,4,0.6418182849884033,7,0.9834069609642029,4,0.8681339025497437,3,0.40261444449424744,6,0.7777155041694641,3,0.693375289440155,9,0.29329079389572144
6,1,1,0.9656268358230591,1,0.9484865665435791,9,0.6923372745513916,9,0.990921676158905,3,0.6605121493339539,9,0.9901785850524902,9,0.810472846031189,9,0.903789222240448,1,0.5245152115821838,1,0.8460482954978943,9,0.5672296285629272,1,0.666318416595459
7,6,6,0.9994214773178101,5,0.40427225828170776,7,0.3081974685192108,2,0.4293799102306366,4,0.30752405524253845,9,0.9588587284088135,2,0.8494877219200134,4,0.8583564162254333,3,0.6227461695671082,6,0.6011812686920166,3,0.8552781343460083,9,0.5722332000732422
8,3,3,0.9998430013656616,3,0.9854897260665894,3,0.9972860813140869,3,0.9761520028114319,3,0.8760554194450378,3,0.5934043526649475,9,0.40096545219421387,9,0.5669106245040894,3,0.9976794123649597,3,0.9743257761001587,3,0.9218214154243469,3,0.972322940826416
9,1,1,0.9369918704032898,1,0.977311909198761,9,0.6617849469184875,9,0.529140055179596,7,0.8075607419013977,9,0.4688166677951813,9,0.9865220189094543,9,0.9937439560890198,9,0.8942359089851379,1,0.9843414425849915,9,0.9228460788726807,9,0.7843064665794373
10,0,0,0.9993492960929871,0,0.9985634684562683,0,0.9912790656089783,0,0.9917268753051758,0,0.8361395597457886,0,0.9329755306243896,0,0.8140163421630859,0,0.5515076518058777,0,0.9995964169502258,0,0.9916732907295227,0,0.9546178579330444,0,0.3386285901069641
11,9,9,0.9988781809806824,9,0.9998748302459717,9,0.9121795892715454,9,0.9919278621673584,1,0.6448973417282104,9,0.9661385416984558,7,0.9519705176353455,9,0.972170889377594,9,0.9637757539749146,9,0.9997063279151917,9,0.9922054409980774,9,0.9989184141159058
12,5,5,0.9979700446128845,5,0.9127092957496643,5,0.9175666570663452,3,0.32691577076911926,3,0.86566162109375,9,0.347072035074234,9,0.6832332611083984,9,0.9086015820503235,5,0.9912500381469727,5,0.8428281545639038,7,0.4890258014202118,5,0.36212924122810364
13,7,7,0.9999798536300659,7,0.9979786276817322,7,0.6947741508483887,4,0.8572460412979126,7,0.6070965528488159,7,0.8880305290222168,9,0.8074253797531128,3,0.3181988298892975,7,0.9996979236602783,7,0.9965894222259521,7,0.5469921827316284,7,0.8965921998023987
14,9,9,0.9969106316566467,9,0.99936443567276,9,0.9450371265411377,9,0.9930956959724426,1,0.27387288212776184,9,0.988197386264801,9,0.8248850107192993,9,0.9919601082801819,9,0.9983524084091187,9,0.9984186887741089,9,0.9918147921562195,9,0.9980648159980774
15,8,8,0.977053165435791,8,0.9996237754821777,0,0.9627271890640259,8,0.9043678641319275,0,0.3617573380470276,8,0.5133174657821655,9,0.791673481464386,9,0.5643800497055054,8,0.9937029480934143,8,0.9985221028327942,8,0.8992811441421509,8,0.905973494052887
16,5,7,0.6541872620582581,5,0.9949854612350464,3,0.48871907591819763,5,0.5555522441864014,9,0.948982834815979,3,0.5355839133262634,9,0.7084516286849976,9,0.8887907266616821,5,0.32231050729751587,5,0.9945957064628601,7,0.9455900192260742,5,0.6000725030899048
17,7,7,0.9998599290847778,7,0.9991689920425415,7,0.8869237303733826,7,0.9207376837730408,7,0.8141375780105591,7,0.6021681427955627,7,0.826475977897644,9,0.8215388059616089,7,0.9892780780792236,7,0.9976709485054016,7,0.9761042594909668,7,0.8645385503768921
18,8,8,0.9999440908432007,8,0.9966198205947876,8,0.997267484664917,8,0.7268655300140381,9,0.9622722268104553,9,0.8705875277519226,9,0.9964511394500732,9,0.9151098728179932,8,0.9994774460792542,8,0.9463315010070801,8,0.9956514239311218,9,0.9201275706291199
19,6,6,0.9999973773956299,6,0.9976765513420105,6,0.7926524877548218,6,0.9225903153419495,9,0.9153214693069458,6,0.7214946150779724,9,0.6171398758888245,4,0.6694348454475403,6,0.7032791376113892,6,0.9932096600532532,4,0.5137500762939453,6,0.49584099650382996
20,7,5,0.8388204574584961,7,0.9917614459991455,5,0.7164132595062256,3,0.2433755248785019,9,0.9912249445915222,7,0.8600123524665833,9,0.8736298084259033,9,0.6793685555458069,5,0.6480190753936768,7,0.9789053201675415,5,0.24809253215789795,9,0.8101649284362793
21,0,0,0.9997702240943909,0,0.954092800617218,0,0.9985008239746094,0,0.651334285736084,0,0.6618492603302002,2,0.9401208162307739,0,0.7761676907539368,3,0.402201384305954,0,0.9996416568756104,0,0.9392955303192139,3,0.6691915392875671,3,0.9334485530853271
22,4,4,0.999014139175415,4,0.9995697140693665,4,0.9569927453994751,8,0.4288497269153595,4,0.9978377223014832,4,0.8540308475494385,9,0.8496622443199158,4,0.8142514228820801,4,0.7489473223686218,4,0.9988081455230713,8,0.636625349521637,4,0.8709454536437988
23,9,9,0.9997408986091614,9,0.9997137188911438,9,0.9181976914405823,9,0.9577560424804688,9,0.9036405086517334,9,0.9795435070991516,9,0.9497489333152771,9,0.8727458715438843,9,0.9999045133590698,9,0.9995911717414856,9,0.960669219493866,9,0.9992098808288574
24,5,5,0.8623157739639282,5,0.9867206811904907,3,0.6029924750328064,4,0.8060030341148376,9,0.6111049652099609,3,0.43968474864959717,9,0.6274574995040894,4,0.9269883036613464,4,0.7785267233848572,5,0.9604613780975342,4,0.7678442597389221,9,0.5060941576957703
25,2,2,0.9981921315193176,2,0.9863734245300293,2,0.9920184016227722,2,0.9688856601715088,3,0.5430898666381836,7,0.7231388688087463,9,0.6124300956726074,9,0.7844130992889404,5,0.4740874767303467,2,0.9418628215789795,3,0.9734911322593689,2,0.9642148017883301
26,4,4,0.905066192150116,4,0.9985313415527344,7,0.9682976007461548,4,0.8859118223190308,3,0.8933614492416382,9,0.8619781732559204,9,0.33458396792411804,9,0.665168821811676,3,0.5362788438796997,4,0.9930021166801453,3,0.8869202733039856,3,0.8324277400970459
27,0,0,0.9999681711196899,0,0.9969315528869629,9,0.46111491322517395,9,0.48578256368637085,9,0.9227767586708069,9,0.462224543094635,2,0.6829009652137756,9,0.46824148297309875,0,0.9908387064933777,0,0.9927970767021179,3,0.9271793365478516,9,0.34594660997390747
28,9,9,0.9992808699607849,9,0.9993693232536316,9,0.6837632060050964,9,0.9934847950935364,9,0.9401673078536987,9,0.9814117550849915,7,0.658822774887085,9,0.956465482711792,9,0.9997503161430359,9,0.9989727735519409,9,0.9961568713188171,9,0.9979470372200012
29,6,6,0.999872088432312,6,0.9933969974517822,6,0.9966564178466797,4,0.9035892486572266,6,0.9921290874481201,4,0.9960600733757019,6,0.5267524719238281,4,0.9368695616722107,6,0.9549023509025574,6,0.9861109256744385,4,0.5518015623092651,6,0.6608662605285645
30,6,6,0.9999821186065674,6,0.950249195098877,4,0.5188049077987671,4,0.8228945732116699,9,0.4969727694988251,4,0.7880291938781738,9,0.34608393907546997,4,0.46566176414489746,5,0.7350704073905945,6,0.8628106117248535,3,0.8290181756019592,9,0.5667088627815247
